question,context,option,type,answer_length,answers_s3auf_mdeberta-v3-squad2-ft-busiQA-3ep,score_s3auf_mdeberta-v3-squad2-ft-busiQA-3ep,answers_s3auf/bert-finetuned-busiQA,score_s3auf/bert-finetuned-busiQA,answers_timpal0l/mdeberta-v3-base-squad2,score_timpal0l/mdeberta-v3-base-squad2,ranked_answer,ranked_score
When is the conference call with the client scheduled?,"The conference call with the client is scheduled for 04-11-2024. We'll be discussing the next steps in the project at that time.
",Date,DATE,long_answer,"{'answer': ' 04-11-2024.', 'answer_start': 52, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990061521530151, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '04-11-2024', 'answer_start': 53, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4173419773578644, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 04-11-2024.', 'answer_start': 52, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9936184883117676, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 04-11-2024.', 'answer_start': 52, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990061521530151
What is the expected ship date for the new hardware?,"The expected ship date for the new hardware is 25-11-2024.  This is dependent on the manufacturer's current production schedule.
",Date,DATE,long_answer,"{'answer': ' 25-11-2024.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9985387325286865, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '25-11-2024', 'answer_start': 47, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5571730136871338, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 25-11-2024.', 'answer_start': 46, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9940080046653748, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 25-11-2024.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9985387325286865
When is the next audit of the financial records scheduled?,"The next audit of the financial records is scheduled for 10-03-2025. This is our regularly scheduled annual audit.
",Date,DATE,long_answer,"{'answer': ' 10-03-2025.', 'answer_start': 56, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9989098906517029, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '10-03-2025', 'answer_start': 57, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4073728024959564, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 10-03-2025.', 'answer_start': 56, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9962632656097412, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 10-03-2025.', 'answer_start': 56, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9989098906517029
What is the deadline for submitting the budget proposal?,"The deadline for submitting the budget proposal is 25-10-2024. We need to meet this deadline to ensure it's reviewed in time for the upcoming fiscal year.
",Date,DATE,long_answer,"{'answer': ' 25-10-2024.', 'answer_start': 50, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9985587000846863, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '25-10-2024', 'answer_start': 51, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.38735175132751465, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 25-10-2024.', 'answer_start': 50, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9954919815063477, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 25-10-2024.', 'answer_start': 50, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9985587000846863
When is the contract with vendor X set to expire?,"The contract with vendor X is set to expire on 31-03-2025. We should start discussions regarding renewal in the next few months.
",Date,DATE,long_answer,"{'answer': ' 31-03-2025.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.999130368232727, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '31-03-2025', 'answer_start': 47, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.08732417225837708, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 31-03-2025.', 'answer_start': 46, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9953272342681885, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 31-03-2025.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.999130368232727
What date did we receive the client's feedback?,"We received the client's feedback on 29-10-2024.  We're currently reviewing it and will be incorporating their suggestions into the project.
",Date,DATE,long_answer,"{'answer': ' 29-10-2024.', 'answer_start': 36, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9989892244338989, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '29-10-2024', 'answer_start': 37, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6198262572288513, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 29-10-2024.', 'answer_start': 36, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9971807599067688, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 29-10-2024.', 'answer_start': 36, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9989892244338989
When is the deadline for submitting the project status report?,"The deadline for submitting the project status report is 05-11-2024.  This will allow enough time for review before the next project meeting.
",Date,DATE,long_answer,"{'answer': ' 05-11-2024.', 'answer_start': 56, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9992035627365112, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '05-11-2024', 'answer_start': 57, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4094075560569763, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 05-11-2024.', 'answer_start': 56, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9941924810409546, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 05-11-2024.', 'answer_start': 56, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9992035627365112
What is the planned implementation date for the new software?,"The planned implementation date for the new software is 18-02-2025.  We're currently in the final stages of testing and preparation.
",Date,DATE,long_answer,"{'answer': ' 18-02-2025.', 'answer_start': 55, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990553855895996, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '18-02-2025', 'answer_start': 56, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.46177488565444946, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 18-02-2025.', 'answer_start': 55, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9959876537322998, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 18-02-2025.', 'answer_start': 55, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990553855895996
What tools do you currently use for lead generation?,"We primarily use Salesforce for lead generation,  leveraging its CRM capabilities to track and nurture prospects.
","Salesforce, Mailchimp, Google Analytics",MULTI_SELECT,short_answer,"{'answer': ' Salesforce', 'answer_start': 16, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9647149443626404, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Salesforce', 'answer_start': 17, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.9319016933441162, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Salesforce', 'answer_start': 16, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9856700897216797, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Salesforce', 'answer_start': 16, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.9856700897216797
What tools do you currently use for lead generation?,"We rely heavily on Mailchimp for email marketing campaigns to generate leads, and we also use Google Analytics to track the effectiveness of those campaigns and other website activity that might be driving leads.
","Mailchimp, Google Analytics",MULTI_SELECT,short_answer,"{'answer': ' Mailchimp', 'answer_start': 18, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.7104888558387756, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Mailchimp', 'answer_start': 19, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4035562574863434, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Mailchimp', 'answer_start': 18, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9199665188789368, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Mailchimp', 'answer_start': 18, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.9199665188789368
What tools do you currently use for lead generation?,"We use Google Analytics to monitor website traffic and identify trends that can help us understand where our best leads are coming from.
",Google Analytics,MULTI_SELECT,short_answer,"{'answer': ' Google Analytics', 'answer_start': 6, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9967820644378662, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Google Analytics', 'answer_start': 7, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.7179968357086182, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Google Analytics', 'answer_start': 6, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9324299693107605, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Google Analytics', 'answer_start': 6, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9967820644378662
What is your average customer acquisition cost (CAC)?,"Our average customer acquisition cost is under $100.
",Under $100,SINGLE_SELECT,short_answer,"{'answer': ' under $100.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9064967632293701, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '100', 'answer_start': 48, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.8720490336418152, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' under $100.', 'answer_start': 40, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.8432978987693787, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' under $100.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9064967632293701
What is your average customer acquisition cost (CAC)?,"Our average customer acquisition cost falls within the $100-$500 range.
",$100-$500,SINGLE_SELECT,short_answer,"{'answer': ' $100-$500', 'answer_start': 54, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9933328628540039, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '100', 'answer_start': 56, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3470683991909027, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' $100-$500', 'answer_start': 54, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7617781758308411, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' $100-$500', 'answer_start': 54, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9933328628540039
What is your average customer acquisition cost (CAC)?,"Our average customer acquisition cost is between $501 and $1000.
",$501-$1000,SINGLE_SELECT,short_answer,"{'answer': ' $501 and $1000.', 'answer_start': 48, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.944548487663269, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '501 and $1000', 'answer_start': 50, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.46770769357681274, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' between $501 and $1000.', 'answer_start': 40, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7613663077354431, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' $501 and $1000.', 'answer_start': 48, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.944548487663269
What is your average customer acquisition cost (CAC)?,"Our average customer acquisition cost is currently in the $1001-$5000 range.
",$1001-$5000,SINGLE_SELECT,short_answer,"{'answer': ' $1001-$5000', 'answer_start': 57, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9919859170913696, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '1001-$5000', 'answer_start': 59, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.27414125204086304, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' $1001-$5000', 'answer_start': 57, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7596550583839417, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' $1001-$5000', 'answer_start': 57, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9919859170913696
What is your average customer acquisition cost (CAC)?,"Our average customer acquisition cost is over $5000.
",Over $5000,SINGLE_SELECT,short_answer,"{'answer': ' over $5000.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9085686802864075, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '5000', 'answer_start': 47, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5209175944328308, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' over $5000.', 'answer_start': 40, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.730195939540863, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' over $5000.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9085686802864075
How many sales representatives do you have on your team?,"We currently have 3 sales representatives on our team.
",1-5,NUMBER,short_answer,"{'answer': ' 3', 'answer_start': 17, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9966455698013306, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '3', 'answer_start': 18, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5948483347892761, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 3', 'answer_start': 17, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9222651124000549, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 3', 'answer_start': 17, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9966455698013306
How many sales representatives do you have on your team?,"We have a sales team of 8 representatives.
",6-10,NUMBER,short_answer,"{'answer': ' 8', 'answer_start': 23, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9981553554534912, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '8', 'answer_start': 24, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.9298924207687378, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 8', 'answer_start': 23, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9189180135726929, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 8', 'answer_start': 23, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9981553554534912
How many sales representatives do you have on your team?,"There are 15 sales representatives on our team.
",11-20,NUMBER,short_answer,"{'answer': ' 15', 'answer_start': 9, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9977717399597168, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '15', 'answer_start': 10, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.8611778616905212, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15', 'answer_start': 9, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9540789723396301, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15', 'answer_start': 9, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9977717399597168
How many sales representatives do you have on your team?,"Our sales team consists of 30 representatives.
",21-50,NUMBER,short_answer,"{'answer': ' 30', 'answer_start': 26, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9983489513397217, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '30', 'answer_start': 27, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.955095648765564, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 30', 'answer_start': 26, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9391270279884338, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 30', 'answer_start': 26, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9983489513397217
How many sales representatives do you have on your team?,"We have over 60 sales representatives on our team.
",50+,NUMBER,short_answer,"{'answer': ' over 60', 'answer_start': 7, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9549269676208496, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '60', 'answer_start': 13, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.8832879662513733, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' over 60', 'answer_start': 7, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7439242601394653, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' over 60', 'answer_start': 7, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9549269676208496
What metrics do you track to measure lead generation effectiveness?,"We closely monitor conversion rates and cost per lead (CPL) to gauge the effectiveness of our lead generation efforts.
","Conversion Rate, Cost Per Lead (CPL), Customer Acquisition Cost (CAC), Return on Investment (ROI), Lead Response Time",MULTI_SELECT,short_answer,"{'answer': ' conversion rates and cost per lead', 'answer_start': 18, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.5327988266944885, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'CPL', 'answer_start': 55, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6620458364486694, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' conversion rates and cost per lead (CPL)', 'answer_start': 18, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.530859112739563, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'CPL', 'answer_start': 55, 'model': 's3auf/bert-finetuned-busiQA'}",0.6620458364486694
What metrics do you track to measure lead generation effectiveness?,"We track Cost Per Lead (CPL), Customer Acquisition Cost (CAC), and Return on Investment (ROI) to measure how effective our lead generation is.
","Cost Per Lead (CPL), Customer Acquisition Cost (CAC), Return on Investment (ROI), Lead Response Time",MULTI_SELECT,short_answer,"{'answer': ' Cost Per Lead', 'answer_start': 8, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.13331830501556396, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'CPL', 'answer_start': 24, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.04301944747567177, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Cost Per Lead', 'answer_start': 8, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.014154779724776745, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Cost Per Lead', 'answer_start': 8, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.13331830501556396
What metrics do you track to measure lead generation effectiveness?,"We primarily focus on Return on Investment (ROI) and Customer Acquisition Cost (CAC) to assess the effectiveness of our lead generation activities.
","Customer Acquisition Cost (CAC), Return on Investment (ROI), Lead Response Time",MULTI_SELECT,short_answer,"{'answer': ' Return on Investment (ROI) and Customer Acquisition Cost', 'answer_start': 21, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.2496338039636612, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'ROI) and Customer Acquisition Cost', 'answer_start': 44, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.08385288715362549, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Return on Investment (ROI) and Customer Acquisition Cost (CAC)', 'answer_start': 21, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.6745924949645996, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Return on Investment (ROI) and Customer Acquisition Cost (CAC)', 'answer_start': 21, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.6745924949645996
